GrupNo,Aciklama
B7001,Bilgi Teknolojileri Yazılım Grubu
D0253,Tesis Makine ve Cihazlar
D0254,Taşıtlar
D0255,Demirbaşlar
E6001,Ekipmanlar ve Yedek Parça
M1001,Dolgu Malzemeleri
M1002,Kalıp Malzeme
M1003,İnşaat Demir Malzeme
M1004,Hazır Beton Malzeme
M1005,Beton Katkı Malzemeler
M1006,Çelik Konstrüksiyon Malzeme
M1007,Çimento
M1008,OSB
M1009,Gazbeton
M1010,Tuğla
M1011,Bims
M1012,Sıva Malzeme
M1013,Su İzolasyon Malzemeleri
M1014,Isı İzolasyon Malzemeleri
M1015,Ses İzolasyon Malzemeleri
M1016,Yangın İzolasyon Malzemeleri
M1017,Dilatasyon Malzemeleri
M1018,Yapı Kimyasalları
M1019,İç Cephe Boyaları
M1020,Çelik Konstrüksiyon Boyaları
M1021,Yer Boyaları
M1022,Hafif Çelik Ve Metal Malzeme
M1023,Alçıpan
M1024,Bölücü Paneller
M1025,Cam Duvar Elemanları
M1026,Kapılar
M1027,Asma Tavanlar
M1028,Mermer Malzeme
M1029,Seramik Malzeme
M1030,Sinterflex Malzeme
M1031,Bazalt Kaplama
M1032,Sunitaş Malzeme
M1033,Granit Malzeme
M1034,Fibercement Malzeme
M1035,Traverten Malzeme
M1036,Ahşap Kaplama Malzeme
M1037,Kompozit Malzemeler
M1038,Halı Kaplama Malzeme
M1039,PVC Yer Kaplama Malzeme
M1040,Epoksi Kaplama Malzeme
M1041,Prekast Kaplama Malzeme
M1042,Parke Kaplama Malzeme
M1043,Duvar Kağıdı Malzeme
M1044,Vinil Kaplama
M1045,Paslanmaz Çelik Kaplama
P1001,İksa İşleri
P1002,Zemin İyileştirme
P1003,Toprak İşleri
P3001,Zayıf Akım Tesisat işleri
P3002,Elektrik Tesisat İşleri
